member_id |         full_name         |                  email                  |   phone    | gender | date_of_birth | date_joined |          created_at           |          updated_at           | user_id | age | disabled | orphan | widowed |     nrc      |   guardian_name    | guardian_phone | status | organization_id 
-----------+---------------------------+-----------------------------------------+------------+--------+---------------+-------------+-------------------------------+-------------------------------+---------+-----+----------+--------+---------+--------------+--------------------+----------------+--------+-----------------
         1 | Demo HQ member 1          | demoMember1@test.com                    | 1234567890 | Female | 1959-02-24    | 2026-02-24  | 2026-02-24 20:34:32.417929+00 | 2026-02-24 20:34:32.417929+00 |         |  67 | t        | f      | t       | 1234/56/7    |                    |                | Active |              56
         2 | Demo HQ member 2          | DemoHQmember2@test.com                  | 1234567890 | Male   | 2000-02-24    | 2026-02-24  | 2026-02-24 20:35:49.957248+00 | 2026-02-24 20:35:49.957248+00 |         |  26 | f        | f      | f       | 1234/56/7    |                    |                | Active |              56
         4 | Priscilla Mwansa          | priscilla.mwansa31@example.com          | 971000030  | Female | 2009-05-11    | 2022-03-03  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  17 | f        | f      | f       |              | Peter Mweemba      | 971001030      | Active |              56
         5 | Yvonne Nkombo             | yvonne.nkombo34@example.com             | 971000033  | Female | 2011-09-27    | 2021-10-06  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  15 | f        | f      | f       |              | Clive Chilongo     | 971001033      | Active |              56
         6 | Uma Chama                 | uma.chama53@example.com                 | 971000052  | Female | 1991-03-07    | 2025-01-29  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  35 | t        | f      | f       | 705295/55/53 |                    |                | Active |              56
         7 | Kenneth Muntanga          | kenneth.muntanga37@example.com          | 971000036  | Male   | 1941-07-24    | 2024-01-26  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  85 | t        | f      | f       | 332997/55/37 |                    |                | Active |              56
         8 | Selina Mwewa              | selina.mwewa66@example.com              | 971000065  | Female | 2014-04-25    | 2022-05-13  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  12 | f        | t      | f       |              | Lydia Chikonde     | 971001065      | Active |              56
         9 | Grace Chanda              | grace.chanda90@example.com              | 971000089  | Female | 1980-12-02    | 2020-07-07  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  46 | f        | f      | f       | 999525/55/90 |                    |                | Active |              56
        10 | Patience Chilongo         | patience.chilongo28@example.com         | 971000027  | Female | 1950-09-02    | 2024-07-21  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  76 | t        | f      | f       | 429997/55/28 |                    |                | Active |              56
        11 | Catherine Mwila           | catherine.mwila6@example.com            | 971000005  | Female | 1957-11-15    | 2021-10-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  69 | f        | f      | f       | 754421/55/6  |                    |                | Active |              56
        12 | Phillip Chola             | phillip.chola58@example.com             | 971000057  | Male   | 1941-08-18    | 2020-03-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  85 | f        | f      | f       | 267360/55/58 |                    |                | Active |              56
        13 | Josephine Chileshe-Kalaba | josephine.chileshe-kalaba27@example.com | 971000026  | Female | 2002-10-24    | 2023-08-24  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  24 | f        | f      | f       | 418828/55/27 |                    |                | Active |              56
        14 | Harrison Zimba            | harrison.zimba52@example.com            | 971000051  | Male   | 2010-05-25    | 2021-09-07  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  16 | f        | f      | f       |              | Eliza Chilongo     | 971001051      | Active |              56
        15 | Beatrice Chiti            | beatrice.chiti77@example.com            | 971000076  | Female | 1937-02-23    | 2023-10-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  89 | f        | f      | t       | 256625/55/77 |                    |                | Active |              56
        16 | Matthew Musonda           | matthew.musonda61@example.com           | 971000060  | Male   | 2011-11-21    | 2023-04-19  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  15 | f        | f      | f       |              | Caleb Chibwe       | 971001060      | Active |              56
        17 | Patience Chansa           | patience.chansa72@example.com           | 971000071  | Female | 1967-06-04    | 2021-06-24  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  59 | t        | f      | f       | 407839/55/72 |                    |                | Active |              56
        18 | Anna Musonda              | anna.musonda59@example.com              | 971000058  | Female | 1936-06-06    | 2022-08-05  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  90 | f        | f      | f       | 378537/55/59 |                    |                | Active |              56
        19 | Anthony Kalaba            | anthony.kalaba87@example.com            | 971000086  | Male   | 2009-10-03    | 2024-12-09  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  17 | f        | f      | f       |              | Beatrice Mumba     | 971001086      | Active |              56
        20 | Delilah Nkonde            | delilah.nkonde81@example.com            | 971000080  | Female | 1943-09-21    | 2025-03-07  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  83 | f        | f      | f       | 454130/55/81 |                    |                | Active |              56
        21 | Maria Chakamba            | maria.chakamba92@example.com            | 971000091  | Female | 2004-11-09    | 2023-07-22  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  22 | t        | f      | f       | 230936/55/92 |                    |                | Active |              56
        22 | Priscilla Chakamba        | priscilla.chakamba33@example.com        | 971000032  | Female | 1990-09-23    | 2024-11-10  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  36 | t        | f      | f       | 121760/55/33 |                    |                | Active |              56
