full_name,email,phone,gender,date_of_birth,date_joined,age,disabled,orphan,widowed,nrc,guardian_name,guardian_phone
Priscilla Mwansa,priscilla.mwansa31@example.com,971000030,Female,2009-05-11,2022-03-03,17,FALSE,FALSE,FALSE,,Peter Mweemba,971001030
Yvonne Nkombo,yvonne.nkombo34@example.com,971000033,Female,2011-09-27,2021-10-06,15,FALSE,FALSE,FALSE,,Clive Chilongo,971001033
Uma Chama,uma.chama53@example.com,971000052,Female,1991-03-07,2025-01-29,35,TRUE,FALSE,FALSE,705295/55/53,,
Kenneth Muntanga,kenneth.muntanga37@example.com,971000036,Male,1941-07-24,2024-01-26,85,TRUE,FALSE,FALSE,332997/55/37,,
Selina Mwewa,selina.mwewa66@example.com,971000065,Female,2014-04-25,2022-05-13,12,FALSE,TRUE,FALSE,,Lydia Chikonde,971001065
Grace Chanda,grace.chanda90@example.com,971000089,Female,1980-12-02,2020-07-07,46,FALSE,FALSE,FALSE,999525/55/90,,
Patience Chilongo,patience.chilongo28@example.com,971000027,Female,1950-09-02,2024-07-21,76,TRUE,FALSE,FALSE,429997/55/28,,
Catherine Mwila,catherine.mwila6@example.com,971000005,Female,1957-11-15,2021-10-11,69,FALSE,FALSE,FALSE,754421/55/6,,
Phillip Chola,phillip.chola58@example.com,971000057,Male,1941-08-18,2020-03-17,85,FALSE,FALSE,FALSE,267360/55/58,,
Josephine Chileshe-Kalaba,josephine.chileshe-kalaba27@example.com,971000026,Female,2002-10-24,2023-08-24,24,FALSE,FALSE,FALSE,418828/55/27,,
Harrison Zimba,harrison.zimba52@example.com,971000051,Male,2010-05-25,2021-09-07,16,FALSE,FALSE,FALSE,,Eliza Chilongo,971001051
Beatrice Chiti,beatrice.chiti77@example.com,971000076,Female,1937-02-23,2023-10-11,89,FALSE,FALSE,TRUE,256625/55/77,,
Matthew Musonda,matthew.musonda61@example.com,971000060,Male,2011-11-21,2023-04-19,15,FALSE,FALSE,FALSE,,Caleb Chibwe,971001060
Patience Chansa,patience.chansa72@example.com,971000071,Female,1967-06-04,2021-06-24,59,TRUE,FALSE,FALSE,407839/55/72,,
Anna Musonda,anna.musonda59@example.com,971000058,Female,1936-06-06,2022-08-05,90,FALSE,FALSE,FALSE,378537/55/59,,
Anthony Kalaba,anthony.kalaba87@example.com,971000086,Male,2009-10-03,2024-12-09,17,FALSE,FALSE,FALSE,,Beatrice Mumba,971001086
Delilah Nkonde,delilah.nkonde81@example.com,971000080,Female,1943-09-21,2025-03-07,83,FALSE,FALSE,FALSE,454130/55/81,,
Maria Chakamba,maria.chakamba92@example.com,971000091,Female,2004-11-09,2023-07-22,22,TRUE,FALSE,FALSE,230936/55/92,,
Priscilla Chakamba,priscilla.chakamba33@example.com,971000032,Female,1990-09-23,2024-11-10,36,TRUE,FALSE,FALSE,121760/55/33,,
Irene Chakamba,irene.chakamba98@example.com,971000097,Female,1958-07-24,2020-08-26,68,FALSE,FALSE,FALSE,275079/55/98,,
Ryan Mwewa,ryan.mwewa84@example.com,971000083,Male,1965-01-03,2023-01-17,61,FALSE,FALSE,FALSE,517859/55/84,,
Brian Ngoma,brian.ngoma26@example.com,971000025,Male,1995-10-01,2023-04-04,31,FALSE,FALSE,FALSE,779961/55/26,,
Hannah Bwalya-Mulenga,hannah.bwalya-mulenga25@example.com,971000024,Female,1998-10-07,2021-10-23,28,FALSE,FALSE,FALSE,271109/55/25,,
Roselyn Mwewa,roselyn.mwewa62@example.com,971000061,Female,1983-10-19,2024-01-20,43,TRUE,FALSE,FALSE,461725/55/62,,
Beatrice Ngulube,beatrice.ngulube17@example.com,971000016,Female,2009-02-03,2025-01-01,17,FALSE,FALSE,FALSE,,Ezekiel Phiri,971001016
Kate Chansa,kate.chansa23@example.com,971000022,Female,2010-05-08,2023-12-28,16,FALSE,FALSE,FALSE,,Mark Zimba,971001022
Genevieve Chikoti,genevieve.chikoti12@example.com,971000011,Female,2021-04-05,2020-07-31,5,FALSE,FALSE,FALSE,,Roselyn Chibwe,971001011
Yvonne Chama,yvonne.chama11@example.com,971000010,Female,1947-03-22,2021-08-06,79,FALSE,FALSE,FALSE,413941/55/11,,
